AD,CAD,Ward,AG,Age,GN,Gender,NH,CH,CH_YN,PT,Pets,DG,CT,NumPets,DGO,CTO,PetOut,YUP,RO,Rent_Own,IC,Income,Income_Coll,DGR,Degree,Edu_Coll,NS,MM,MMT,DC,ConcernScore,DL,DK,MG,LK,PM,SK,KS,KSP,GAT21,GAT2021,GATPr,GATPrev,GATSm,NumSummers,Summ1,Summ2,Summ3,Summ4,Summ5,New GAT,CHM,CHMN,EC,EmptyConts,ECT,UD,Dunks,FP,KnowUPProg,UPD,WhatProgDo (Overall Score),Did They Check GAT?,BCI,BlockCapInt,BCH,BlockCapHelp,PE,PF,EffectFavScore,PC,OCT,IMC,IMC_Score,GATNo,NoGATReason,GATNoT,TOD,TimeOut,AOD,OutAct,OutActA,OutActB,OutActC,OutActD,OutActE,OutActF,OutActG,OutActH,NumOut,AODT,OOD,OtherOutA,OtherOutB,OtherOutC,OtherOutD,OtherOutE,OtherOutF,OtherOutG,NumOtherOut,OODT,UPF,KN,IN,IN_Coll,Gift card email,Other comments
,,,35 - 50,2,Female,2,4,2,Yes,Yes,1,,,0,0,0,0,3,Own,2,"$200,000 - $250,000",5,"$200,000 or greater",Bachelor's Degree,4,Bachelor's degree or less,4,My backyard,,1,5,None,0,Standing water,1,Asian tiger mosquito,1,2,,Yes,1,Yes,1,2020,1,2020,,,,,Yes,No,0,"Yes, regularly",1,,No,0,Yes,2,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing",1,,Yes,2,Yes,2,3,4,7,"More volunteers to assist residents with mosquito control in their yards,More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They make being outside unpleasant",3,NA (I have a GAT),,,More than 8 hours per week,9,"Play with or supervise children playing outdoors,Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home) ","Play with or supervise children playing outdoors,Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects  ",Play with or supervise children playing outdoors,Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,,7,,"Hiking,Kayaking, canoeing, or other water sports,Camping or backpacking,Outdoor-focused travel (such as visiting National Parks),Other outdoor activities (please describe)","Hiking,Kayaking, canoeing, or other water sports,Camping or backpacking,Outdoor-focused travel ,Other outdoor activities ",#REF!,,,,,,7,"Biking, archery",Yes,Yes,Weekly,Weekly,,
,,,35 - 50,2,Female,2,5,3,Yes,Yes,1,1,0,1,1,0,1,4,Own,2,"$100,000 - $150,000",3,"$100,000 - $200,000",Graduate degree or professional degree,5,Graduate degree or professional degree,5,Other (please describe),Everywhere,5,10,"West Nile, Zika?",1,In standing water,1,Asian tiger,0,3,,No,0,Yes,1,"20,172,018",2,2017,2018,,,,No,No,0,"Yes, regularly",1,,Yes,1,Somewhat,1,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing,Door-to-door canvassing",1,,Yes,2,No,0,3,3,6,"More volunteers to assist residents with mosquito control in their yards,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,I want my community to be safe,They make being outside unpleasant",4,"I do not think it works,I do not want to maintain it,Other (please describe)",I do not think it works,It is at lot of work to maintain and ends up attracting flies if not maintained,More than 8 hours per week,9,"Play with or supervise children playing outdoors,Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home) ","Play with or supervise children playing outdoors,Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects  ",Play with or supervise children playing outdoors,Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,,7,,"Birding,Camping or backpacking,Other outdoor activities (please describe)","Birding,Camping or backpacking,Other outdoor activities ",Birding,Camping or backpacking,Other outdoor activities,,,,3,Playgrounds,Yes,Yes,Daily,Daily,,
,,,50 - 65,3,Female,2,3,0,No,No,0,,,0,,,0,1,Rent,1,"$150,000 - $200,000",4,#N/A,Graduate degree or professional degree,5,Graduate degree or professional degree,3,My backyard,,4,7,Malaria encephalitis,1,Water,1,Don’t inow,0,2,,No,0,No,0,,#N/A,#VALUE!,,,,,#VALUE!,No,0,"Yes, regularly",1,,No,0,No,0,,1,,No,0,,#N/A,4,3,7,"Battery-powered or active traps,More town-sponsored distribution of GATs",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,I want my community to be safe,They make being outside unpleasant",5,Don't know what it is,I do not know what it is,I don’t really know what it is and where it is available,More than 8 hours per week,9,"Play with or supervise children playing outdoors,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch","Play with or supervise children playing outdoors,Exercise ,Sitting in an outdoor space, such as a patio or porch",Play with or supervise children playing outdoors,Exercise,Sitting in an outdoor space,such as a patio or porch,,,,,4,,"Birding,Outdoor-focused travel (such as visiting National Parks)","Birding,Outdoor-focused travel ",Birding,Outdoor-focused travel,,,,,2,,Yes,Somewhat,Rarely,Monthly or less,,
,,,65+,4,Male,1,2,0,No,Yes,1,0,2,2,0,0,0,48,Own,2,"$200,000 - $250,000",5,"$200,000 or greater",Bachelor's Degree,4,Bachelor's degree or less,3,My backyard,,4,7,west nile virus,1,in any standing water,1,Asian tiger,1,3,,Yes,1,Yes,1,"2016,2017,2018,2019,2020",5,2016,2017,2018,2019,2020,No,No,0,"Yes, regularly",1,,Yes,1,Yes,2,"Print education,GAT deployment efforts,Block-captain organizing,Door-to-door canvassing",1,,Yes,2,Yes,2,3,5,8,,,"They can spread disease to humans,They can spread disease to animals",2,NA (I have a GAT),,,More than 8 hours per week,9,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Home improvement projects (such as painting or renovating the exterior of your home) ","Landscaping ,Gardening,Exercise ,Home improvement projects  ",Landscaping,Gardening,Exercise,Home improvement projects,,,,,4,,"Hiking,Outdoor-focused travel (such as visiting National Parks),Other outdoor activities (please describe)","Hiking,Outdoor-focused travel ,Other outdoor activities ",Hiking,Outdoor-focused travel,Other outdoor activities,,,,3,bicycle riding,Yes,Yes,Weekly,Weekly,,
,,,50 - 65,3,Male,1,1,0,No,Yes,1,,,0,,,0,,,#N/A,,#N/A,#N/A,,#N/A,#N/A,,,,,0,,0,,0,,0,0,,,0,,0,,#N/A,#VALUE!,,,,,#VALUE!,,1,,#N/A,,,#N/A,,#N/A,,1,,,#N/A,,#N/A,,,0,,,,0,,,,,#N/A,,,,,,,,,,,1,,,,#VALUE!,,,,,,1,,,,,#N/A,,
,,,35 - 50,2,Male,1,2,0,No,No,0,,,0,,,0,2,Own,2,"Greater than $250,000",6,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,5,Other (please describe),"Everywhere: in the yards in front, behind, and around our house, as well as all around town",2,7,"West Nile virus, malaria ",1,In stagnant water,1,Tiger mosquitos,1,3,,Yes,1,Yes,1,2020,1,2020,,,,,Yes,No,0,"Yes, regularly",1,,Sometimes,#N/A,Yes,2,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing,Door-to-door canvassing",1,,Yes,2,Yes,2,3,5,8,"More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They make being outside unpleasant",2,,,,More than 8 hours per week,9,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home) ","Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects  ",Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,,,6,,"Birding,Kayaking, canoeing, or other water sports,Camping or backpacking,Outdoor-focused travel (such as visiting National Parks)","Birding,Kayaking, canoeing, or other water sports,Camping or backpacking,Outdoor-focused travel ",Birding,Kayaking,canoeing,or other water sports,Camping or backpacking,Outdoor-focused travel,6,,Yes,Yes,Weekly,Weekly,,
,,,50 - 65,3,Female,2,1,0,No,Yes,1,0,2,2,,0,0,16,Own,2,"$50,000 - $100,000",2,"Up to $100,000",Graduate degree or professional degree,5,Graduate degree or professional degree,1,My backyard,,2,3,"Zika, west Nile",1,Near water,0,Asian tiger,1,3,,No,0,Yes,1,"201,820,192,020",3,2018,2019,2020,,,Yes,No,0,"Yes, regularly",1,,Yes,1,Yes,2,"In-person education,GAT deployment efforts,Block-captain organizing",1,,Yes,2,Yes,2,3,5,8,Battery-powered or active traps,,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,I want my community to be safe,They make being outside unpleasant",4,"I do not want to maintain it,Other (please describe)",I do not want to maintain it,Didn’t catch many mosquitoes last year and this year I was hardly bothered by them.,2 - 4 hours,3,"Gardening,Exercise (including walks around the neighborhood)","Gardening,Exercise ",Gardening,Exercise,,,,,,,2,,None,None,None,,,,,,1,,Yes,Yes,Weekly,Weekly,,
,,,50 - 65,3,Male,1,2,0,No,No,0,,,0,,,0,25,Own,2,"$200,000 - $250,000",5,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,,My backyard,,3,3,West Nile virus,1,in standing water,1,Asian tiger mosquito,1,3,,Yes,1,Yes,1,"201,820,192,020",3,2018,2019,2020,,,Yes,No,0,"Sometimes, if I remember (enter approximately how often, if desired)",0,,No,0,Somewhat,1,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing",1,,Not sure,1,,#N/A,3,5,8,"Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They make being outside unpleasant",3,NA (I have a GAT),,,4 -6 hours,5,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch","Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch",Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,,,,5,,"Birding,Hiking,Outdoor-focused travel (such as visiting National Parks)","Birding,Hiking,Outdoor-focused travel ",Birding,Hiking,Outdoor-focused travel,,,,3,,Yes,Yes,Daily,Daily,,
,,,65+,4,Male,1,2,0,No,Yes,1,1,,1,1,0,1,21,Own,2,"$100,000 - $150,000",3,"$100,000 - $200,000",Bachelor's Degree,4,Bachelor's degree or less,5,My backyard,,4,9,Zika,0,Stagnant water,1,Tiger,1,2,,No,0,Yes,1,"20,182,019",2,2018,2019,,,,Yes,No,0,"Yes, regularly",1,,No,0,Yes,2,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing",1,,Yes,2,Somewhat,1,4,4,8,,,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,I want my community to be safe,They make being outside unpleasant",4,"I do not want to maintain it,It does not fully eliminate mosquitoes from the yard",I do not want to maintain it,,More than 8 hours per week,9,"Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Other (please describe)","Exercise ,Sitting in an outdoor space, such as a patio or porch,Other ",Exercise,Sitting in an outdoor space,such as a patio or porch,Other,,,,,4,Tennis,"Hiking,Outdoor-focused travel (such as visiting National Parks)","Hiking,Outdoor-focused travel ",Hiking,Outdoor-focused travel,,,,,2,,Yes,Yes,Weekly,Weekly,,
,,,65+,4,Female,2,1,0,No,Yes,1,1,1,2,1,,1,35,Own,2,,#N/A,#N/A,Graduate degree or professional degree,5,Graduate degree or professional degree,2,My backyard,,1,3,west nile virus,1,water,1,asian tiger,1,3,,No,0,Yes,1,2016,1,2016,,,,,No,No,0,"Yes, regularly",1,,No,0,Yes,2,"Print education,GAT deployment efforts,Block-captain organizing",1,,Yes,2,No,0,1,1,2,"Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"They can spread disease to animals,They make being outside unpleasant",2,"I do not want to maintain it,Other (please describe)",I do not want to maintain it,Insufficient instructions provided first year. Town office did not help because they said it was not a town project. Given string of phone numbers to call that did not result in help. Too much grass put in but original instructions did not specify how much.,More than 8 hours per week,9,"Gardening,Exercise (including walks around the neighborhood)","Gardening,Exercise ",Gardening,Exercise,,,,,,,2,,None,None,None,,,,,,1,,Somewhat,Yes,Monthly,Monthly or less,,
,,,65+,4,Male,1,1,0,No,No,0,,,0,,,0,34,Own,2,"Less than $50,000",1,"Up to $100,000",High school diploma,1,Bachelor's degree or less,2,"Around town (not in a specific location, but not when I am in my own yard)",,3,5,,0,,0,,0,0,,No,0,No,0,,#N/A,#VALUE!,,,,,#VALUE!,No,0,"Sometimes, if I remember (enter approximately how often, if desired)",0,,No,0,No,0,,1,,No,0,,#N/A,3,4,7,Town-wide chemical spray,,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans",2,Don't know what it is,I do not know what it is,i DON'T KNOW WHAT IT IS,1 - 2 hours,2,Home improvement projects (such as painting or renovating the exterior of your home),Home improvement projects,Home improvement projects,,,,,,,,1,,None,None,None,,,,,,1,,Yes,Somewhat,Weekly,Weekly,,
,,,35 - 50,2,Female,2,4,2,Yes,No,0,,,0,,,0,7,Own,2,"$200,000 - $250,000",5,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,5,Near the creek,,4,9,"dengue, chitakyunga, etc.",0,still water,1,Tiger mosquito,1,2,,Yes,1,Yes,1,"2,017,201,820,192,020",4,2017,2018,2019,2020,,No,Yes,1,"Sometimes, if I remember (enter approximately how often, if desired)",0,weekly,No,0,Yes,2,"Print education,GAT deployment efforts,Mosquito monitoring",1,,No,0,,#N/A,2,3,5,"Town-wide chemical spray,More volunteers to assist residents with mosquito control in their yards,More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,I want my community to be safe,They make being outside unpleasant",5,,,,6- 8 hours,7,"Play with or supervise children playing outdoors,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch","Play with or supervise children playing outdoors,Exercise ,Sitting in an outdoor space, such as a patio or porch",Play with or supervise children playing outdoors,Exercise,Sitting in an outdoor space,such as a patio or porch,,,,,4,,"Hiking,Fishing,Kayaking, canoeing, or other water sports,Camping or backpacking,Outdoor-focused travel (such as visiting National Parks)","Hiking,Fishing,Kayaking, canoeing, or other water sports,Camping or backpacking,Outdoor-focused travel ",#REF!,,,,,,7,,Yes,Yes,Daily,Daily,,
,,,65+,4,Male,1,2,0,No,No,0,,,0,,,0,28,Own,2,"$50,000 - $100,000",2,"Up to $100,000",Graduate degree or professional degree,5,Graduate degree or professional degree,3,My backyard,,3,6,don't know,0,in still water,1,tiger mosquito,1,2,,Yes,1,Yes,1,"2016,2017,2018,2019,2020",5,2016,2017,2018,2019,2020,No,No,0,"Yes, regularly",1,,Yes,1,Yes,2,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing,Door-to-door canvassing",1,,Yes,2,Yes,2,4,4,8,More volunteers to assist residents with mosquito control in their yards,,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,I want my community to be safe,They make being outside unpleasant",5,NA (I have a GAT),,,More than 8 hours per week,9,"Landscaping (such as lawn mowing),Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home) ","Landscaping ,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects  ",Landscaping,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,,,,5,,"Outdoor-focused travel (such as visiting National Parks),Other outdoor activities (please describe)","Outdoor-focused travel ,Other outdoor activities ",Outdoor-focused travel,Other outdoor activities,,,,,2,motorcycle riding,Yes,Yes,Weekly,Weekly,,
,,,50 - 65,3,Female,2,1,0,No,Yes,1,1,0,1,1,0,1,33 years,Own,2,"$150,000 - $200,000",4,#N/A,Graduate degree or professional degree,5,Graduate degree or professional degree,4,My backyard,,3,7,Malaria and others,0,Water,1,I forget,0,1,,Yes,1,Yes,1,"20,192,020",2,2019,2020,,,,Yes,No,0,"Sometimes, if I remember (enter approximately how often, if desired)",0,,Yes,1,Yes,2,"Print education,In-person education,GAT deployment efforts,Chemical-spraying,Mosquito monitoring,Block-captain organizing,Door-to-door canvassing",0,,Yes,2,Somewhat,1,3,4,7,"More volunteers to assist residents with mosquito control in their yards,More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes,Other (please describe)",Help to change the GAT. I tend to forget.,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,I want my community to be safe,They make being outside unpleasant",5,,,,More than 8 hours per week,9,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home) ","Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects  ",Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,,,6,,Other outdoor activities (please describe),Other outdoor activities,Other outdoor activities,,,,,,1,"Swimming, biking ",Yes,Yes,Daily,Daily,,
,,,50 - 65,3,Female,2,3,0,No,Yes,1,2,0,2,2,0,2,20,Own,2,"$200,000 - $250,000",5,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,3,My backyard,,3,6,"west Nile, encephalitis, malaria, etc",1,standing water,1,Asian tiger,1,3,,Yes,1,Yes,1,"2,017,201,820,192,020",4,2017,2018,2019,2020,,No,No,0,"Yes, regularly",1,,Yes,1,Yes,2,"Print education,In-person education,GAT deployment efforts,Chemical-spraying,Mosquito monitoring,Block-captain organizing,Door-to-door canvassing",0,,Yes,2,Yes,2,5,5,10,,,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They make being outside unpleasant",3,NA (I have a GAT),,,More than 8 hours per week,9,"Play with or supervise children playing outdoors,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home) ","Play with or supervise children playing outdoors,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects  ",Play with or supervise children playing outdoors,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,,,,5,,"Hiking,Kayaking, canoeing, or other water sports,Camping or backpacking,Outdoor-focused travel (such as visiting National Parks)","Hiking,Kayaking, canoeing, or other water sports,Camping or backpacking,Outdoor-focused travel ",Hiking,Kayaking,canoeing,or other water sports,Camping or backpacking,Outdoor-focused travel,6,,Yes,Yes,Daily,Daily,,
,,,65+,4,Male,1,2,0,No,No,0,,,0,,,0,46,Own,2,"$200,000 - $250,000",5,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,4,My backyard,,3,7,West Nile fever,1,In still water,1,Tiger mosquito,1,3,,Yes,1,Yes,1,"20,192,020",2,2019,2020,,,,Yes,No,0,"Yes, regularly",1,,Yes,1,Yes,2,"Print education,In-person education,GAT deployment efforts,Chemical-spraying,Mosquito monitoring,Block-captain organizing,Door-to-door canvassing",0,,Yes,2,Somewhat,1,3,5,8,"Town-wide chemical spray,Battery-powered or active traps,More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,I want my community to be safe,They make being outside unpleasant",4,NA (I have a GAT),,,4 -6 hours,5,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch","Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch",Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,,,,5,,"Hiking,Kayaking, canoeing, or other water sports,Outdoor-focused travel (such as visiting National Parks)","Hiking,Kayaking, canoeing, or other water sports,Outdoor-focused travel ",Hiking,Kayaking,canoeing,or other water sports,Outdoor-focused travel,,5,,Yes,Yes,Weekly,Weekly,,
,,,18 - 35,1,Female,2,5,0,No,No,0,,,0,,,0,,,#N/A,,#N/A,#N/A,,#N/A,#N/A,,,,,0,,0,,0,,0,0,,,0,,0,,#N/A,#VALUE!,,,,,#VALUE!,,1,,#N/A,,,#N/A,,#N/A,,1,,,#N/A,,#N/A,,,0,,,,0,,,,,#N/A,,,,,,,,,,,1,,,,#VALUE!,,,,,,1,,,,,#N/A,,
,,,65+,4,Female,2,1,,Yes,No,0,,,0,,,0,23,Own,2,"$150,000 - $200,000",4,#N/A,Graduate degree or professional degree,5,Graduate degree or professional degree,3,My backyard,,2,5,I don't know,0,Moist areas,1,I don't know,0,0,,No,0,No,0,,#N/A,#VALUE!,,,,,#VALUE!,No,0,"No, never",0,,I don't know what this is,#N/A,Somewhat,1,Print education,1,,No,0,,#N/A,3,3,6,,,"I or another member of my household is irritated by mosquito bites,I want my community to be safe",2,,,,4 -6 hours,5,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Home improvement projects (such as painting or renovating the exterior of your home) ","Landscaping ,Gardening,Exercise ,Home improvement projects  ",Landscaping,Gardening,Exercise,Home improvement projects,,,,,4,,Other outdoor activities (please describe),Other outdoor activities,Other outdoor activities,,,,,,1,Biking,Yes,Yes,Weekly,Weekly,,
,,,50 - 65,3,Female,2,1,0,No,No,0,,,0,,,0,,Own,2,"$150,000 - $200,000",4,#N/A,Graduate degree or professional degree,5,Graduate degree or professional degree,5,My backyard,,5,10,"West Nile (via crows), Infection from scratching",1,Pools of water (tiny ones too); also in the ground since my yard is clay,1,"""Common"" mosquito; also Tiger ",1,3,,No,0,Yes,1,2017,1,2017,,,,,No,No,0,"Sometimes, if I remember (enter approximately how often, if desired)",0,3 - 4 times per month,No,0,Somewhat,1,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing",1,,Yes,2,Somewhat,1,3,5,8,"More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,I want my community to be safe,They make being outside unpleasant",5,I do not want to maintain it,I do not want to maintain it,,6- 8 hours,7,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch","Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch",Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,,,,5,,"Hiking,Outdoor-focused travel (such as visiting National Parks),Other outdoor activities (please describe)","Hiking,Outdoor-focused travel ,Other outdoor activities ",Hiking,Outdoor-focused travel,Other outdoor activities,,,,3,Garden Visits,Yes,Yes,Daily,Daily,,
,,,35 - 50,2,Female,2,2,0,No,Yes,1,0,2,2,0,0,0,10,Own,2,"$150,000 - $200,000",4,#N/A,Graduate degree or professional degree,5,Graduate degree or professional degree,3,My backyard,,3,6,West Nile,1,stagnant water,1,Asian tiger mosquito,1,3,,No,0,No,0,,#N/A,#VALUE!,,,,,#VALUE!,No,0,"Sometimes, if I remember (enter approximately how often, if desired)",0,,I don't know what this is,#N/A,Yes,2,"Print education,In-person education,GAT deployment efforts",1,,No,0,,#N/A,2,3,5,"More volunteers to assist residents with mosquito control in their yards,More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,I want my community to be safe,They make being outside unpleasant",5,Don't know what it is,I do not know what it is,I'm not familiar with how they work,2 - 4 hours,3,"Gardening,Exercise (including walks around the neighborhood)","Gardening,Exercise ",Gardening,Exercise,,,,,,,2,,"Hiking,Outdoor-focused travel (such as visiting National Parks)","Hiking,Outdoor-focused travel ",Hiking,Outdoor-focused travel,,,,,2,,Somewhat,Somewhat,Rarely,Monthly or less,,
,,,65+,4,Female,2,2,0,No,No,0,,,0,,,0,13,Own,2,"$100,000 - $150,000",3,"$100,000 - $200,000",Graduate degree or professional degree,5,Graduate degree or professional degree,3,My backyard,,3,6,I don't know,0,wet areas,1,tiger mosquito,1,2,,No,0,Yes,1,"20,192,020",2,2019,2020,,,,Yes,No,0,"Sometimes, if I remember (enter approximately how often, if desired)",0,once a week,No,0,Yes,2,"Print education,GAT deployment efforts,Mosquito monitoring",1,,No,0,,#N/A,3,3,6,"More volunteers to assist residents with mosquito control in their yards,More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They make being outside unpleasant",3,I do not think it works,I do not think it works,,More than 8 hours per week,9,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home) ","Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects  ",Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,,,6,,"Hiking,Outdoor-focused travel (such as visiting National Parks)","Hiking,Outdoor-focused travel ",Hiking,Outdoor-focused travel,,,,,2,,Yes,Yes,Daily,Daily,,
,,,50 - 65,3,Female,2,2,0,No,No,0,,,0,,,0,57,Own,2,"$150,000 - $200,000",4,#N/A,Graduate degree or professional degree,5,Graduate degree or professional degree,3,My backyard,,1,4,"I don't know -- I don't think we have malaria or Zika here, but maybe West Nile",1,standing water,1,I don't know,0,2,,No,0,No,0,,#N/A,#VALUE!,,,,,#VALUE!,No,0,"Yes, regularly",1,,I don't know what this is,#N/A,Somewhat,1,"Print education,GAT deployment efforts,Block-captain organizing",1,,No,0,,#N/A,3,4,7,More town-sponsored distribution of GATs,,"I or another member of my household is irritated by mosquito bites,I want my community to be safe,They make being outside unpleasant",3,Not enough time,I do not have time,Haven't gotten around to it,1 - 2 hours,2,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home) ","Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects  ",Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,,,6,,"Hiking,Kayaking, canoeing, or other water sports,Outdoor-focused travel (such as visiting National Parks),Other outdoor activities (please describe)","Hiking,Kayaking, canoeing, or other water sports,Outdoor-focused travel ,Other outdoor activities ",Hiking,Kayaking,canoeing,or other water sports,Outdoor-focused travel,Other outdoor activities,6,Riding horses,Yes,Yes,Weekly,Weekly,,
